question_id,question,options,isMultipleChoice,answers,test_id
1,What is React?,"['A database', 'A JavaScript library for building user interfaces', 'A programming language', 'A server-side framework']",False,[1],cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
2,Which of the following is used to manage state in a functional component?,"['useState', 'useContext', 'useReducer', 'useMemo']",False,[0],cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
3,What is the purpose of the key prop in React?,"['To uniquely identify elements in a list', 'To add CSS styles', 'To trigger re-renders', 'To set default values for props']",False,[0],cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
4,Which lifecycle method is called after a component is rendered for the first time?,"['componentWillMount', 'componentDidMount', 'componentDidUpdate', 'componentWillReceiveProps']",False,[1],cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
5,What does JSX stand for?,"['JavaScript and XML', 'JavaScript and HTML', 'JavaScript and XSL', 'Java and XML']",False,[0],cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
6,Which of the following are valid ways to create a component in React? (Choose all that apply),"['Function components', 'Class components', 'Pure components', 'Higher-order components']",True,"[0, 1, 2, 3]",cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
7,Which of the following hooks is used to perform side effects in functional components? (Choose all that apply),"['useEffect', 'useState', 'useReducer', 'useContext']",True,[0],cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
8,What are props in React? (Choose all that apply),"['A way to pass data from parent to child components', 'Read-only attributes', 'Used to manage state within a component ', 'Mutable and can be changed']",True,"[0, 1]",cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
9,Which of the following are benefits of using React? (Choose all that apply),"['Virtual DOM for improved performance', 'Unidirectional data flow', 'Built-in state management ', 'Strong community support']",True,"[0, 1, 3]",cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
10,Which of the following methods are used to handle events in React? (Choose all that apply),"['onClick', 'onChange', 'onSubmit', 'onLoad']",True,"[0, 1, 2]",cc9fe36d-8f34-44f2-bb14-1eb62fdb4fff
1,What type of database is MongoDB?,"['Relational Database', 'Document Database', 'Key-Value Store', 'Column-Family Store']",False,[1],3009f08c-acd2-4315-8bc5-b0b393b40974
2,Which command is used to insert a document into a collection in MongoDB?,"['insert()', 'add()', 'put()', 'create()']",False,[0],3009f08c-acd2-4315-8bc5-b0b393b40974
3,What does the find() method do in MongoDB?,"['Updates documents', 'Retrieves documents from a collection', 'Deletes documents', 'Creates a new collection']",False,[1],3009f08c-acd2-4315-8bc5-b0b393b40974
4,Which of the following is a valid way to define a MongoDB document?,"['{ key: value }', '[ key: value ]', '( key: value ) ', '<key: value>']",False,[0],3009f08c-acd2-4315-8bc5-b0b393b40974
5,What is the default port number for MongoDB?,"['27017', '3306', '5432', '8080']",False,[0],3009f08c-acd2-4315-8bc5-b0b393b40974
6,Which of the following commands can be used to create a new database in MongoDB? (Choose all that apply),"['use database_name', 'db.createDatabase(database_name)', 'db.createCollection(""collection_name"")', 'mongo database_name']",True,"[0, 3]",3009f08c-acd2-4315-8bc5-b0b393b40974
7,Which of the following data types are supported by MongoDB? (Choose all that apply),"['String', 'Integer', 'ObjectId', 'Float']",True,"[0, 1, 2, 3]",3009f08c-acd2-4315-8bc5-b0b393b40974
8,What is the purpose of the aggregate() function in MongoDB? (Choose all that apply),"['To perform data aggregation operations', 'To create indexes', 'To perform complex data queries', 'To insert multiple documents']",True,"[0, 2]",3009f08c-acd2-4315-8bc5-b0b393b40974
9,Which of the following are valid MongoDB operators? (Choose all that apply),"['$gt', '$eq', '$like', '$in']",True,"[0, 1, 3]",3009f08c-acd2-4315-8bc5-b0b393b40974
10,What is the role of indexes in MongoDB? (Choose all that apply),"['To improve query performance', 'To ensure data integrity', 'To enforce uniqueness on fields', 'To organize data in a collection']",True,"[0, 2]",3009f08c-acd2-4315-8bc5-b0b393b40974
11,What command is used to update a document in a MongoDB collection?,"['update()', 'modify()', 'save()', 'edit()']",False,[0],3009f08c-acd2-4315-8bc5-b0b393b40974
